Sales Representative,Location,Region,Customer,Order Date,Product,Quantity,Price,Total Sale Amount
Sara Snyder,New York,East,Lori Collins,3/12/2016,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5,17.83,89.15
Diane Gonzalez,Washington,West,Jerry Collins,3/12/2016,Zipper Ring Binder Pockets,9,16.32,146.88
Patrick Graham,Oregon,West,Kathy Lee,3/12/2016,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",4,12.42,49.68
Sara Snyder,Massachusetts,East,Matthew Smith,3/12/2016,Avery File Folder Labels,8,17.83,142.64
Sara Snyder,Massachusetts,East,Roger Andrews,3/12/2016,Color-Coded Legal Exhibit Labels,6,12.42,74.52
Randy Watson,Connecticut,East,Sandra Meyer,3/12/2016,Bulldog Vacuum Base Pencil Sharpener,10,16.32,163.2
Sara Snyder,New Jersey,East,Adam Russell,3/12/2016,Xerox 212,9,17.83,160.47
Patrick Graham,Washington,West,Pamela Alexander,3/12/2016,Computer Printout Paper with Letter-Trim Fine Perforations,2,12.42,24.84
Randy Watson,New York,East,Randy Burton,3/13/2016,Avery File Folder Labels,4,16.32,65.28
Frances Warren,Connecticut,East,Russell Romero,3/13/2016,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,1,12.42,12.42
Sara Snyder,New York,East,Phyllis Ward,3/13/2016,DAX Black Cherry Wood-Tone Poster Frame,10,53.35,533.5
Diane Gonzalez,Oregon,West,Anna Garcia,3/13/2016,AT&T 841000 Phone,6,16.32,97.92
Patrick Graham,Oregon,West,Anna Garcia,3/13/2016,GBC Linen Binding Covers,9,12.42,111.78
Sara Snyder,Connecticut,East,Jane Watkins,3/13/2016,Round Specialty Laser Printer Labels,8,12.42,99.36
Diane Gonzalez,Washington,West,Gloria Morris,3/13/2016,Motorola HK250 Universal Bluetooth Headset,1,16.32,16.32
Frances Warren,New York,East,Kenneth Fernandez,3/13/2016,Tuf-Vin Binders,5,16.32,81.6
Sara Snyder,New Jersey,East,Ronald Lopez,3/13/2016,Wilson Jones Easy Flow II Sheet Lifters,4,12.42,49.68
Sara Snyder,Massachusetts,East,Kevin Barnes,3/13/2016,,2,17.83,35.66
Sara Snyder,New Jersey,East,Keith Berry,3/13/2016,Angle-D Ring Binders,10,53.35,533.5
Sara Snyder,Massachusetts,East,Susan Watkins,3/13/2016,Xerox 188,5,53.35,266.75
Sara Snyder,Connecticut,East,Lois Baker,3/13/2016,Office Star - Contemporary Task Swivel Chair,3,12.42,37.26
Patrick Graham,Oregon,West,Julie Gonzalez,3/13/2016,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",8,12.42,99.36
Randy Watson,Massachusetts,East,Alice Kelly,3/13/2016,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),4,53.35,213.4
Patrick Graham,Oregon,West,Kathy Lee,3/13/2016,"Global Airflow Leather Mesh Back Chair, Black",8,16.32,130.56
Patrick Graham,Washington,West,Maria Romero,3/13/2016,Avery 499,6,53.35,320.1
Patrick Graham,Washington,West,Jeremy Baker,3/14/2016,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",9,12.42,111.78
Randy Watson,New York,East,Mark Alexander,3/14/2016,Wasp CCD Handheld Bar Code Reader,10,17.83,178.3
Patrick Graham,Washington,West,Craig Thomas,3/14/2016,Acco Suede Grain Vinyl Round Ring Binder,4,12.42,49.68
Sara Snyder,New York,East,Cheryl Riley,3/14/2016,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,9,16.32,146.88
Sara Snyder,Massachusetts,East,Bruce Reynolds,3/14/2016,Bulldog Table or Wall-Mount Pencil Sharpener,3,12.42,37.26
Sara Snyder,New York,East,Ashley Spencer,3/14/2016,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,9,16.32,146.88
Randy Watson,New York,East,Wayne Rivera,3/14/2016,Cardinal EasyOpen D-Ring Binders,8,12.42,99.36
Randy Watson,Connecticut,East,Maria Long,3/14/2016,Advantus SlideClip Paper Clips,6,53.35,320.1
Randy Watson,New York,East,Ralph Gomez,3/14/2016,Xerox 1979,1,17.83,17.83
Diane Gonzalez,Washington,West,Sharon Montgomery,3/14/2016,Fellowes PB300 Plastic Comb Binding Machine,1,17.83,17.83
Patrick Graham,California,West,Robin Murphy,3/14/2016,Plantronics Voyager Pro Legend,3,12.42,37.26
Frances Warren,New York,East,Joe Ryan,3/15/2016,Laser & Ink Jet Business Envelopes,6,12.42,74.52
Sara Snyder,Massachusetts,East,Jerry Palmer,3/15/2016,Portable Personal File Box,2,53.35,106.7
Sara Snyder,New York,East,Jerry Pierce,3/15/2016,Magna Visual Magnetic Picture Hangers,4,53.35,213.4
Patrick Graham,Nevada,West,Paula Watson,3/15/2016,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,2,12.42,24.84
Sara Snyder,New York,East,Heather Andrews,3/15/2016,Boston 16801 Nautilus Battery Pencil Sharpener,8,53.35,426.8
Frances Warren,Massachusetts,East,Michael Foster,3/15/2016,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,6,12.42,74.52
Patrick Graham,Oregon,West,Lillian Howard,3/15/2016,"Bevis Round Bullnose 29"" High Table Top",9,12.42,111.78
Diane Gonzalez,Washington,West,Angela Sullivan,3/15/2016,,6,12.42,74.52
Randy Watson,New Jersey,East,Jacqueline Wheeler,3/15/2016,Fellowes Super Stor/Drawer Files,5,12.42,62.1
Patrick Graham,Washington,West,Annie Hughes,3/15/2016,Xerox 1910,4,16.32,65.28
Frances Warren,New Jersey,East,Denise Mitchell,3/15/2016,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",6,53.35,320.1
Sara Snyder,Massachusetts,East,Joseph Bishop,3/15/2016,UniKeep View Case Binders,4,17.83,71.32
Patrick Graham,Washington,West,Mildred Hernandez,3/15/2016,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",3,12.42,37.26
Sara Snyder,Massachusetts,East,Steven Miller,3/15/2016,JBL Micro Wireless Portable Bluetooth Speaker,9,12.42,111.78
Diane Gonzalez,Washington,West,Gary Cook,3/15/2016,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",6,12.42,74.52
Patrick Graham,Washington,West,Arthur Green,3/15/2016,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",10,53.35,533.5
Patrick Graham,Nevada,West,Rachel Dunn,3/15/2016,Project Tote Personal File,2,12.42,24.84
Diane Gonzalez,California,West,Andrew Adams,3/15/2016,Bevis 36 x 72 Conference Tables,7,53.35,373.45
Patrick Graham,Oregon,West,Roger Bell,3/15/2016,Enermax Acrylux Wireless Keyboard,3,16.32,48.96
Sara Snyder,Massachusetts,East,Brandon King,3/15/2016,Xerox 216,10,16.32,163.2
Patrick Graham,Nevada,West,Kimberly Bennett,3/15/2016,G.E. Halogen Desk Lamp Bulbs,5,12.42,62.1
Sara Snyder,New York,East,Gloria Harper,3/15/2016,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",5,16.32,81.6
Frances Warren,Massachusetts,East,Aaron Morris,3/16/2016,OtterBox Commuter Series Case - Samsung Galaxy S4,1,12.42,12.42
Sara Snyder,Massachusetts,East,Todd Spencer,3/16/2016,Iceberg Mobile Mega Data/Printer Cart ,8,12.42,99.36
Patrick Graham,Washington,West,Kathy Schmidt,3/16/2016,Staples in misc. colors,9,12.42,111.78
Randy Watson,New York,East,Tammy Ferguson,3/16/2016,Global Comet Stacking Arm Chair,1,53.35,53.35
Randy Watson,Massachusetts,East,Sandra Weaver,3/16/2016,Cisco SPA525G2 5-Line IP Phone,3,12.42,37.26
Sara Snyder,New York,East,Jane Sims,3/16/2016,Peel & Seel Envelopes,8,17.83,142.64
Patrick Graham,Oregon,West,Gloria Mcdonald,3/16/2016,GBC Plastic Binding Combs,2,16.32,32.64
Sara Snyder,New Jersey,East,Marilyn Patterson,3/16/2016,Xerox 2,6,53.35,320.1
Sara Snyder,Massachusetts,East,Phillip Johnston,3/16/2016,Xerox 1935,2,17.83,35.66
Frances Warren,Massachusetts,East,Cheryl Myers,3/16/2016,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,8,12.42,99.36
Patrick Graham,Nevada,West,Michelle Elliott,3/16/2016,Easy-staple paper,8,12.42,99.36
Sara Snyder,New Jersey,East,Bonnie Shaw,3/16/2016,,4,12.42,49.68
Randy Watson,Massachusetts,East,Antonio Hunter,3/16/2016,Global Commerce Series High-Back Swivel/Tilt Chairs,9,12.42,111.78
Randy Watson,Massachusetts,East,Jeremy Richards,3/16/2016,9-3/4 Diameter Round Wall Clock,3,53.35,160.05
Patrick Graham,Washington,West,Christine Jacobs,3/16/2016,Avery 514,4,16.32,65.28
Patrick Graham,Oregon,West,Joseph Reynolds,3/16/2016,Southworth 25% Cotton Granite Paper & Envelopes,1,12.42,12.42
Patrick Graham,Oregon,West,Henry Day,3/17/2016,Acco 3-Hole Punch,9,12.42,111.78
Sara Snyder,Massachusetts,East,Deborah Wells,3/17/2016,Avery Recycled Flexi-View Covers for Binding Systems,6,53.35,320.1
Diane Gonzalez,Washington,West,Ryan Ramos,3/17/2016,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,4,53.35,213.4
Patrick Graham,California,West,Martha Bell,3/17/2016,Aluminum Screw Posts,7,16.32,114.24
Randy Watson,Massachusetts,East,Bobby Mitchell,3/17/2016,Newell 336,5,16.32,81.6
Patrick Graham,California,West,Harry Torres,3/17/2016,Staples in misc. colors,5,12.42,62.1
Sara Snyder,New Jersey,East,Michelle Henderson,3/17/2016,Chromcraft Round Conference Tables,5,16.32,81.6
Randy Watson,Massachusetts,East,Joe Russell,3/17/2016,Maxell 4.7GB DVD+RW 3/Pack,10,12.42,124.2
Patrick Graham,Oregon,West,Roger Bell,3/17/2016,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",3,53.35,160.05
Diane Gonzalez,Washington,West,Joseph Willis,3/17/2016,"Quartet Alpha White Chalk, 12/Pack",3,17.83,53.49
Randy Watson,Massachusetts,East,George Stone,3/17/2016,Belkin F9S820V06 8 Outlet Surge,10,17.83,178.3
Sara Snyder,Massachusetts,East,Aaron Morris,3/18/2016,"Global Stack Chair without Arms, Black",8,12.42,99.36
Frances Warren,New Jersey,East,Robert Collins,3/18/2016,Cisco Unified IP Phone 7945G VoIP phone,4,53.35,213.4
Sara Snyder,Connecticut,East,Clarence Mason,3/18/2016,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",7,12.42,86.94
Patrick Graham,California,West,Joan Robinson,3/18/2016,Plantronics HL10 Handset Lifter,2,53.35,106.7
Patrick Graham,Washington,West,Mildred Hernandez,3/18/2016,Logitech Wireless Performance Mouse MX for PC and Mac,8,12.42,99.36
Randy Watson,Massachusetts,East,Amanda Bryant,3/18/2016,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,4,16.32,65.28
Sara Snyder,New Jersey,East,Benjamin Spencer,3/18/2016,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",6,12.42,74.52
Sara Snyder,New Jersey,East,Sean Weaver,3/18/2016,"Howard Miller 12"" Round Wall Clock",10,12.42,124.2
Frances Warren,New Jersey,East,Kelly Daniels,3/18/2016,DIXON Ticonderoga Erasable Checking Pencils,5,12.42,62.1
Patrick Graham,Washington,West,Ruth Day,3/18/2016,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,3,12.42,37.26
Frances Warren,Connecticut,East,Benjamin Phillips,3/18/2016,,1,12.42,12.42
Sara Snyder,Massachusetts,East,George Stone,3/18/2016,Avery Round Ring Poly Binders,8,12.42,99.36
Patrick Graham,Washington,West,Angela Sullivan,3/18/2016,Avery Hole Reinforcements,3,53.35,160.05
Diane Gonzalez,Washington,West,Judy Sanchez,3/18/2016,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",1,12.42,12.42
Patrick Graham,California,West,Joan Robinson,3/18/2016,Stockwell Gold Paper Clips,8,53.35,426.8
Sara Snyder,New York,East,Debra Allen,3/19/2016,Global Deluxe Steno Chair,6,16.32,97.92
Sara Snyder,New Jersey,East,Laura Wells,3/19/2016,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,6,17.83,106.98
Randy Watson,Connecticut,East,Ryan Arnold,3/19/2016,"Super Bands, 12/Pack",1,12.42,12.42
Randy Watson,New York,East,Jerry Pierce,3/19/2016,Crayola Colored Pencils,6,12.42,74.52
Diane Gonzalez,Washington,West,Phillip Mills,3/19/2016,Plantronics 81402,4,16.32,65.28
Sara Snyder,New York,East,Harold Hunter,3/19/2016,Assorted Color Push Pins,2,12.42,24.84
Diane Gonzalez,Washington,West,Marilyn Carpenter,3/19/2016,"GBC Velobind Prepunched Cover Sets, Regency Series",6,53.35,320.1
Sara Snyder,New York,East,Irene Wells,3/19/2016,"Global Value Mid-Back Manager's Chair, Gray",8,16.32,130.56
Diane Gonzalez,Oregon,West,Rose Matthews,3/19/2016,Staple remover,5,12.42,62.1
Randy Watson,Massachusetts,East,Kevin Torres,3/19/2016,GBC Premium Transparent Covers with Diagonal Lined Pattern,5,17.83,89.15
Sara Snyder,New York,East,Ralph Gomez,3/19/2016,Newell 333,10,16.32,163.2
Patrick Graham,Washington,West,Carol Pierce,3/19/2016,Xerox 1881,1,12.42,12.42
Patrick Graham,Washington,West,Evelyn Lane,3/19/2016,3M Organizer Strips,1,17.83,17.83
Diane Gonzalez,Washington,West,Maria Romero,3/20/2016,Avery Durable Slant Ring Binders With Label Holder,7,12.42,86.94
Patrick Graham,Washington,West,Denise Henry,3/20/2016,Round Ring Binders,6,12.42,74.52
Frances Warren,New Jersey,East,Edward Wells,3/20/2016,Micropad Numeric Keypads,9,17.83,160.47
Randy Watson,Massachusetts,East,Theresa Ellis,3/20/2016,Newell 328,4,12.42,49.68
Patrick Graham,California,West,Frances Parker,3/20/2016,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,3,53.35,160.05
Frances Warren,New York,East,Chris Gilbert,3/20/2016,Sterilite Officeware Hinged File Box,9,17.83,160.47
Patrick Graham,California,West,Joan Robinson,3/20/2016,Avery Printable Repositionable Plastic Tabs,1,53.35,53.35
Sara Snyder,Massachusetts,East,Beverly Hamilton,3/20/2016,Easy-staple paper,7,53.35,373.45
Sara Snyder,New Jersey,East,Keith Berry,3/20/2016,,9,17.83,160.47
Randy Watson,Massachusetts,East,Sandra Weaver,3/20/2016,Chromcraft Round Conference Tables,8,12.42,99.36
Sara Snyder,Massachusetts,East,Roger Gomez,3/20/2016,Easy-staple paper,3,53.35,160.05
Patrick Graham,Oregon,West,Brian Roberts,3/20/2016,Adjustable Depth Letter/Legal Cart,3,12.42,37.26
Patrick Graham,Washington,West,Daniel Perez,3/20/2016,Ativa V4110MDD Micro-Cut Shredder,8,12.42,99.36
Randy Watson,New York,East,Katherine Mcdonald,3/20/2016,Xerox 224,10,12.42,124.2
Frances Warren,New York,East,Joseph Boyd,3/20/2016,Nokia Lumia 521 (T-Mobile),7,17.83,124.81
Frances Warren,Connecticut,East,Ryan Arnold,3/20/2016,Avery 488,5,16.32,81.6
Patrick Graham,Washington,West,Evelyn Lane,3/21/2016,Telescoping Adjustable Floor Lamp,5,17.83,89.15
Randy Watson,Massachusetts,East,Ann Duncan,3/21/2016,Innergie mMini Combo Duo USB Travel Charging Kit,5,17.83,89.15
Sara Snyder,Massachusetts,East,Lori Shaw,3/21/2016,Stanley Contemporary Battery Pencil Sharpeners,1,17.83,17.83
Sara Snyder,Massachusetts,East,Kevin Barnes,3/21/2016,AT&T 1080 Corded phone,2,53.35,106.7
Randy Watson,Connecticut,East,Cheryl Henderson,3/21/2016,Xerox 1950,2,12.42,24.84
Frances Warren,New Jersey,East,Jacqueline Wheeler,3/21/2016,Kensington 7 Outlet MasterPiece Power Center,8,12.42,99.36
Sara Snyder,New York,East,Irene Wells,3/21/2016,"Fellowes Mobile File Cart, Black",1,16.32,16.32
Patrick Graham,Oregon,West,Brian Roberts,3/21/2016,GBC Recycled VeloBinder Covers,9,17.83,160.47
Randy Watson,Massachusetts,East,Bruce Nelson,3/21/2016,Hon 4060 Series Tables,9,17.83,160.47
Sara Snyder,Massachusetts,East,Alice Davis,3/21/2016,Newell 326,6,16.32,97.92
Patrick Graham,California,West,Jimmy Warren,3/21/2016,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",6,53.35,320.1
Patrick Graham,Washington,West,Ryan Ramos,3/21/2016,Logitech ClearChat Comfort/USB Headset H390,9,12.42,111.78
Frances Warren,New York,East,Helen Dean,3/21/2016,Newell 346,3,12.42,37.26
Patrick Graham,Nevada,West,Kimberly Bennett,3/22/2016,Avery Non-Stick Binders,4,16.32,65.28
Randy Watson,Massachusetts,East,Walter Meyer,3/22/2016,UniKeep View Case Binders,1,16.32,16.32
Sara Snyder,New York,East,Craig Mcdonald,3/22/2016,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",2,12.42,24.84
Diane Gonzalez,Oregon,West,Gloria Mcdonald,3/22/2016,"Tennsco Lockers, Gray",7,12.42,86.94
Patrick Graham,Washington,West,Kathy Schmidt,3/22/2016,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",6,16.32,97.92
Diane Gonzalez,Washington,West,Annie Hunter,3/22/2016,,1,17.83,17.83
Sara Snyder,Massachusetts,East,Jennifer Reyes,3/22/2016,Staples,1,12.42,12.42
Randy Watson,Connecticut,East,Betty Hicks,3/22/2016,"Recycled Interoffice Envelopes with Re-Use-A-Seal Closure, 10 x 13",9,12.42,111.78
Randy Watson,New York,East,Anthony Berry,3/22/2016,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,5,12.42,62.1
Sara Snyder,Massachusetts,East,Steven Kelly,3/22/2016,Xerox 1905,8,17.83,142.64
Randy Watson,New York,East,Nancy Scott,3/22/2016,Avery Hidden Tab Dividers for Binding Systems,6,17.83,106.98
Randy Watson,Massachusetts,East,Lori Shaw,3/22/2016,Binding Machine Supplies,4,12.42,49.68
Sara Snyder,New York,East,Jane Sims,3/22/2016,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",3,17.83,53.49
Sara Snyder,New York,East,Frances Campbell,3/22/2016,Logitech Illuminated - Keyboard,7,12.42,86.94
Sara Snyder,Massachusetts,East,Cheryl Williamson,3/23/2016,Self-Adhesive Removable Labels,7,16.32,114.24
Sara Snyder,Massachusetts,East,Louise Green,3/23/2016,Xerox 1908,7,16.32,114.24
Diane Gonzalez,California,West,Joan Robinson,3/23/2016,Logitech G19 Programmable Gaming Keyboard,9,17.83,160.47
Randy Watson,New Jersey,East,Emily Duncan,3/23/2016,"Ampad Evidence Wirebond Steno Books, 6"" x 9""",4,12.42,49.68
Patrick Graham,Oregon,West,Lois Fernandez,3/23/2016,Security-Tint Envelopes,1,12.42,12.42
Randy Watson,New York,East,Anthony Berry,3/23/2016,Apple iPhone 5C,5,17.83,89.15
Sara Snyder,Massachusetts,East,Eugene Flores,3/23/2016,Newell 351,4,53.35,213.4
Patrick Graham,Washington,West,Earl White,3/23/2016,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",7,12.42,86.94
Sara Snyder,New York,East,Phyllis Johnston,3/23/2016,Newell 327,6,53.35,320.1
Patrick Graham,Washington,West,George Hill,3/23/2016,Staple envelope,7,12.42,86.94
Sara Snyder,Massachusetts,East,Gregory Thompson,3/23/2016,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,9,16.32,146.88
Sara Snyder,Massachusetts,East,Craig Collins,3/23/2016,50 Colored Long Pencils,5,17.83,89.15
Diane Gonzalez,Washington,West,Paula Ross,3/23/2016,Brown Kraft Recycled Envelopes,8,12.42,99.36
Sara Snyder,Massachusetts,East,Mary Nelson,3/23/2016,KI Adjustable-Height Table,6,53.35,320.1
Randy Watson,Massachusetts,East,Howard Adams,3/23/2016,Xerox 1945,5,16.32,81.6
Sara Snyder,New York,East,Linda Rose,3/24/2016,Globe Weis Peel & Seel First Class Envelopes,3,12.42,37.26
Randy Watson,Massachusetts,East,Gregory Thompson,3/24/2016,Xerox 216,3,12.42,37.26
Patrick Graham,Nevada,West,Laura Mcdonald,3/24/2016,,4,53.35,213.4
Randy Watson,Massachusetts,East,Howard Adams,3/24/2016,Avery 502,2,12.42,24.84
Randy Watson,New York,East,Marilyn Martin,3/24/2016,Steel Personal Filing/Posting Tote,7,53.35,373.45
Sara Snyder,New Jersey,East,Arthur Simmons,3/24/2016,"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",6,53.35,320.1
Patrick Graham,Washington,West,Carol Pierce,3/24/2016,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,9,17.83,160.47
Diane Gonzalez,California,West,Andrew Adams,3/24/2016,Xerox 1896,3,53.35,160.05
Sara Snyder,New York,East,Louis Marshall,3/24/2016,Newell 332,10,17.83,178.3
Diane Gonzalez,Oregon,West,Clarence Bishop,3/24/2016,Cardinal Slant-D Ring Binders,7,12.42,86.94
Sara Snyder,Massachusetts,East,Sean Carr,3/24/2016,Luxo Professional Combination Clamp-On Lamps,8,12.42,99.36
Sara Snyder,New York,East,Lawrence Ruiz,3/25/2016,Stockwell Push Pins,5,53.35,266.75
Patrick Graham,Washington,West,Gloria Morris,3/25/2016,Xerox 223,4,12.42,49.68
Patrick Graham,Washington,West,George Hill,3/25/2016,Star Micronics TSP800 TSP847IIU Receipt Printer,2,53.35,106.7
Patrick Graham,Oregon,West,Roger Bell,3/25/2016,"Fellowes Mobile File Cart, Black",3,17.83,53.49
Sara Snyder,Massachusetts,East,Walter Kennedy,3/25/2016,Hoover Shoulder Vac Commercial Portable Vacuum,7,12.42,86.94
Frances Warren,New Jersey,East,Peter Brown,3/25/2016,Staples,4,12.42,49.68
Sara Snyder,New York,East,Raymond Collins,3/25/2016,Acco Expandable Hanging Binders,8,17.83,142.64
Patrick Graham,California,West,Jimmy Warren,3/25/2016,Shocksock Galaxy S4 Armband,3,53.35,160.05
Diane Gonzalez,Washington,West,Ernest Hernandez,3/25/2016,Brother DCP1000 Digital 3 in 1 Multifunction Machine,9,17.83,160.47
Patrick Graham,Washington,West,Cheryl Morris,3/25/2016,"Eldon Regeneration Recycled Desk Accessories, Smoke",3,16.32,48.96
Sara Snyder,New York,East,Juan Reed,3/25/2016,"Crayola Anti Dust Chalk, 12/Pack",9,12.42,111.78
Sara Snyder,New York,East,Lawrence Ruiz,3/25/2016,Lock-Up Easel 'Spel-Binder',1,17.83,17.83
Randy Watson,New York,East,Robert Hayes,3/25/2016,"SAFCO Commercial Wire Shelving, 72h",4,53.35,213.4
Frances Warren,New York,East,Evelyn Greene,3/25/2016,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",8,17.83,142.64
Frances Warren,Connecticut,East,Henry Cox,3/26/2016,Wilson Jones Century Plastic Molded Ring Binders,9,12.42,111.78
Randy Watson,Massachusetts,East,Mary Nelson,3/26/2016,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",2,53.35,106.7
Sara Snyder,Massachusetts,East,Eugene Schmidt,3/26/2016,Hon Deluxe Fabric Upholstered Stacking Chairs,6,12.42,74.52
Patrick Graham,Washington,West,Ruby Gonzales,3/26/2016,,6,53.35,320.1
Frances Warren,New York,East,Kimberly Little,3/26/2016,Avery Binding System Hidden Tab Executive Style Index Sets,2,17.83,35.66
Frances Warren,New York,East,Louis Marshall,3/26/2016,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",6,17.83,106.98
Patrick Graham,Nevada,West,Michelle Elliott,3/26/2016,PowerGen Dual USB Car Charger,4,53.35,213.4
Sara Snyder,New Jersey,East,Marilyn Patterson,3/26/2016,Ibico Laser Imprintable Binding System Covers,2,12.42,24.84
Diane Gonzalez,California,West,Martha Bell,3/26/2016,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",2,12.42,24.84
Sara Snyder,New York,East,Gloria Harper,3/26/2016,Fellowes Binding Cases,9,53.35,480.15
Sara Snyder,New Jersey,East,Michelle Henderson,3/26/2016,Logitech K350 2.4Ghz Wireless Keyboard,1,12.42,12.42
Randy Watson,Massachusetts,East,Todd Spencer,3/26/2016,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",6,16.32,97.92
Patrick Graham,Washington,West,Annie Hughes,3/26/2016,Safco Industrial Wire Shelving System,5,17.83,89.15
Sara Snyder,New Jersey,East,Marilyn Patterson,3/26/2016,Xerox 1996,2,53.35,106.7
Sara Snyder,New York,East,Ruby Matthews,3/26/2016,Iris Project Case,7,17.83,124.81
Sara Snyder,New York,East,Nancy Stephens,3/26/2016,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",1,17.83,17.83
Patrick Graham,Washington,West,Joseph Dixon,3/27/2016,ACCOHIDE Binder by Acco,3,17.83,53.49
Patrick Graham,Washington,West,Harry Hanson,3/27/2016,GBC Instant Report Kit,4,16.32,65.28
Sara Snyder,New York,East,Daniel Morris,3/27/2016,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",6,12.42,74.52
Sara Snyder,New York,East,Edward Cooper,3/27/2016,Acme Forged Steel Scissors with Black Enamel Handles,4,12.42,49.68
Sara Snyder,Massachusetts,East,Todd Spencer,3/27/2016,Staple-on labels,7,53.35,373.45
Diane Gonzalez,Washington,West,Beverly Garcia,3/27/2016,Harbour Creations Steel Folding Chair,3,12.42,37.26
Patrick Graham,California,West,Evelyn Elliott,3/27/2016,JBL Micro Wireless Portable Bluetooth Speaker,9,12.42,111.78
Sara Snyder,New Jersey,East,William Hicks,3/27/2016,Plantronics S12 Corded Telephone Headset System,2,12.42,24.84
Patrick Graham,Washington,West,Kenneth Gomez,3/27/2016,Wireless Extenders zBoost YX545 SOHO Signal Booster,2,12.42,24.84
Patrick Graham,Washington,West,Arthur Green,3/27/2016,"OIC #2 Pencils, Medium Soft",5,12.42,62.1
Randy Watson,Massachusetts,East,Phillip Johnston,3/27/2016,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",10,12.42,124.2
Sara Snyder,New Jersey,East,Benjamin Willis,3/27/2016,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,1,53.35,53.35
Randy Watson,Massachusetts,East,Kevin Torres,3/27/2016,Peel & Stick Add-On Corner Pockets,7,12.42,86.94
Randy Watson,New York,East,Joe Ryan,3/28/2016,,6,12.42,74.52
Patrick Graham,Washington,West,Ruth Kennedy,3/28/2016,Xerox 220,1,12.42,12.42
Randy Watson,New York,East,Betty Stewart,3/28/2016,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",5,16.32,81.6
Randy Watson,New Jersey,East,Randy Willis,3/28/2016,Kensington 6 Outlet Guardian Standard Surge Protector,5,12.42,62.1
Diane Gonzalez,Washington,West,Charles Montgomery,3/28/2016,Toshiba IPT2010-SD IP Telephone,7,17.83,124.81
Sara Snyder,New York,East,Debra Allen,3/28/2016,GuestStacker Chair with Chrome Finish Legs,3,17.83,53.49
Patrick Graham,Washington,West,Annie Hughes,3/28/2016,Xerox 1908,9,12.42,111.78
Diane Gonzalez,California,West,Adam Garza,3/28/2016,Xerox 1924,3,53.35,160.05
Sara Snyder,Massachusetts,East,Carl Ford,3/28/2016,Xerox 21,3,12.42,37.26
Sara Snyder,New Jersey,East,Albert Dunn,3/28/2016,Ultra Door Push Plate,6,53.35,320.1
Frances Warren,New Jersey,East,Adam Russell,3/28/2016,"Decoflex Hanging Personal Folder File, Blue",9,12.42,111.78
Sara Snyder,Massachusetts,East,Jerry Butler,3/29/2016,"Tenex ""The Solids"" Textured Chair Mats",6,53.35,320.1
